,Country,CountryToISO,Year,Gender,Age,SuicidesNo,Population,SuicidesPer100k,GDPForYear,GDPPerCapita,Generation
0,Albania,ALB,1987,male,15-24 years,21.0,312900,6.71,"2,15,66,24,900",796.0,Generation X
1,Albania,ALB,1987,male,35-54 years,16.0,308000,5.19,"2,15,66,24,900",796.0,Silent
2,Albania,ALB,1987,female,15-24 years,14.0,289700,4.83,"2,15,66,24,900",796.0,Generation X
3,Albania,ALB,1987,male,75+ years,1.0,21800,4.59,"2,15,66,24,900",796.0,G.I. Generation
4,Albania,ALB,1987,male,25-34 years,9.0,274300,3.28,"2,15,66,24,900",796.0,Boomers
5,Albania,ALB,1987,female,75+ years,1.0,35600,2.81,"2,15,66,24,900",796.0,G.I. Generation
6,Albania,ALB,1987,female,35-54 years,6.0,278800,2.15,"2,15,66,24,900",796.0,Silent
7,Albania,ALB,1987,female,25-34 years,4.0,257200,1.56,"2,15,66,24,900",796.0,Boomers
8,Albania,ALB,1987,male,55-74 years,1.0,137500,0.73,"2,15,66,24,900",796.0,G.I. Generation
9,Albania,ALB,1987,female,5-14 years,0.0,311000,0.0,"2,15,66,24,900",796.0,Generation X
10,Albania,ALB,1987,female,55-74 years,0.0,144600,0.0,"2,15,66,24,900",796.0,G.I. Generation
11,Albania,ALB,1987,male,5-14 years,0.0,338200,0.0,"2,15,66,24,900",796.0,Generation X
12,Albania,ALB,1988,female,75+ years,2.0,36400,5.49,"2,12,60,00,000",769.0,G.I. Generation
13,Albania,ALB,1988,male,15-24 years,17.0,319200,5.33,"2,12,60,00,000",769.0,Generation X
14,Albania,ALB,1988,male,75+ years,1.0,22300,4.48,"2,12,60,00,000",769.0,G.I. Generation
15,Albania,ALB,1988,male,35-54 years,14.0,314100,4.46,"2,12,60,00,000",769.0,Silent
16,Albania,ALB,1988,male,55-74 years,4.0,140200,2.85,"2,12,60,00,000",769.0,G.I. Generation
17,Albania,ALB,1988,female,15-24 years,8.0,295600,2.71,"2,12,60,00,000",769.0,Generation X
18,Albania,ALB,1988,female,55-74 years,3.0,147500,2.03,"2,12,60,00,000",769.0,G.I. Generation
